set_num,retailer,observed_at,price_inr,mrp_inr,in_stock,url
10271,jaimantoys,2026-09-09T12:29:11+00:00,14500.0,,1,https://jaimantoys.com/products/lego-creator-expert-fiat-500-10271-toy-car-building-set-for-adults-and-fans-of-model-kits-sets-idea-960-pieces
10272,jaimantoys,2026-09-09T12:13:30+00:00,81000.0,,1,https://jaimantoys.com/products/lego-creator-expert-old-trafford-manchester-united-10272-building-kit
10272,jaimantoys,2026-09-09T12:29:11+00:00,81000.0,,1,https://jaimantoys.com/products/lego-creator-expert-old-trafford-manchester-united-10272-building-kit
10272,jaimantoys,2026-09-09T12:46:19+00:00,81000.0,,1,https://jaimantoys.com/products/lego-creator-expert-old-trafford-manchester-united-10272-building-kit
10280,mybrickhouse,2026-09-10T09:18:14+00:00,4999.0,,0,https://lego.mybrickhouse.com/products/flower-bouquet-10280-building-kit-756-pieces
10280,mybrickhouse,2026-09-10T11:10:46+00:00,4999.0,,0,https://lego.mybrickhouse.com/products/flower-bouquet-10280-building-kit-756-pieces
10280,mybrickhouse,2026-09-10T11:34:31+00:00,4999.0,,0,https://lego.mybrickhouse.com/products/flower-bouquet-10280-building-kit-756-pieces
10280,mybrickhouse,2026-09-11T13:30:36+00:00,4999.0,,0,https://lego.mybrickhouse.com/products/flower-bouquet-10280-building-kit-756-pieces
10280,mybrickhouse,2026-09-12T10:49:00+00:00,4999.0,,0,https://lego.mybrickhouse.com/products/flower-bouquet-10280-building-kit-756-pieces
10280,mybrickhouse,2026-09-12T10:54:29+00:00,4999.0,,0,https://lego.mybrickhouse.com/products/flower-bouquet-10280-building-kit-756-pieces
10280,mybrickhouse,2026-09-12T11:04:28+00:00,4999.0,,0,https://lego.mybrickhouse.com/products/flower-bouquet-10280-building-kit-756-pieces
10281,mybrickhouse,2026-09-10T09:18:14+00:00,5449.0,,0,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
10281,mybrickhouse,2026-09-10T11:10:46+00:00,5449.0,,0,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
10281,mybrickhouse,2026-09-10T11:34:31+00:00,5449.0,,0,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
10281,mybrickhouse,2026-09-11T13:30:36+00:00,5449.0,,0,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
10281,mybrickhouse,2026-09-12T10:49:00+00:00,5449.0,,0,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
10281,mybrickhouse,2026-09-12T10:54:29+00:00,5449.0,,0,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
10281,mybrickhouse,2026-09-12T11:04:28+00:00,5449.0,,0,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
10281,toycra,2026-09-15T06:55:00+00:00,5449.0,,0,https://toycra.com/products/lego-10281-icons-bonsai-tree
10294,mybrickhouse,2026-09-10T09:18:14+00:00,63999.0,,0,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
10294,mybrickhouse,2026-09-10T11:10:46+00:00,63999.0,,0,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
10294,mybrickhouse,2026-09-10T11:34:31+00:00,63999.0,,0,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
10294,mybrickhouse,2026-09-11T13:30:36+00:00,63999.0,,0,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
10294,mybrickhouse,2026-09-12T10:49:00+00:00,63999.0,,0,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
10294,mybrickhouse,2026-09-12T10:54:29+00:00,63999.0,,0,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
10294,mybrickhouse,2026-09-12T11:04:28+00:00,63999.0,,0,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
10295,jaimantoys,2026-09-09T12:29:11+00:00,22000.0,,1,https://jaimantoys.com/products/lego-porsche-911-10295-model-building-kit-engaging-building-project-for-adults-build-and-display-the-iconic-porsche-911-new-2021-1-458-pieces
